Hacienda,Corte,Ambiente,env,Parcela,Entry,Rep,Block,Variedad,Name,FS,FC,FE,Edad,env1,New,Treatn,Poblacion,Alt,Diam,N_Entre,L_Entre,L_Hojas,A_Hojas,N_Hojas_V,N_Hojas_S,TCH,IDD,periodo,Diseno,TCH1
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,152,221,1,13,CC 85-92,S29,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 85-92,13.61111111,,,,,154.2,5.78,,,,153,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,158,221,1,14,CC 85-92,S29,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 85-92,14.33333333,,,,,157.2,5.31,,,,159,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,170,221,1,15,CC 85-92,S29,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 85-92,10.44444444,,,,,150.9,5.7,,,,171,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,190,221,1,16,CC 85-92,S29,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 85-92,13.77777778,,,,,155.5,3.72,,,,191,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,198,221,1,17,CC 85-92,S29,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 85-92,11.38888889,,,,,143,4.85,,,,199,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,206,221,1,18,CC 85-92,S29,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 85-92,12.11111111,,,,,155.6,5.91,,,,207,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,220,221,1,19,CC 85-92,S29,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 85-92,10.5,,,,,151.4,5.83,,,,221,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,230,221,1,20,CC 85-92,S29,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 85-92,10.44444444,,,,,150.4,4.9,,,,231,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,241,221,1,21,CC 85-92,S29,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 85-92,10.05555556,,,,,149.1,5.19,,,,242,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,257,221,1,22,CC 85-92,S29,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 85-92,10.83333333,,,,,140.6,4.98,,,,258,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,35,176,1,3,CC 86-02,S31,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,13.27777778,,,,,153.4,4.28,,,,36,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,245,148,1,21,CC 86-29,S33,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,11.16666667,,,,,133.5,4.54,,,,246,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,42,208,1,4,CC 87-117,S34,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,7,,,,,146.1,4.15,,,,43,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,253,209,1,22,CC 87-216,S35,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,8.166666667,,,,,135.4,5.21,,,,254,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,124,16,1,11,CC 87-251,S36,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,15,,,,,133.2,3.62,,,,125,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,199,210,1,17,CC 87-382,S37,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,11.72222222,,,,,134,4.12,,,,200,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,194,203,1,17,CC 87-434,S38,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,13.27777778,,,,,154.9,5.54,,,,195,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,175,41,1,15,CC 87-473,S39,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,13.5,,,,,147,3.94,,,,176,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,31,68,1,3,CC 87-67,S40,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,11.5,,,,,136.9,5.25,,,,32,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,114,70,1,10,CC 87-832,S41,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,13.05555556,,,,,151.4,4.69,,,,115,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,254,91,1,22,CC 88-209,S42,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,16.61111111,,,,,147.3,3.89,,,,255,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,238,194,1,20,CC 88-647,S185,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,10.11111111,,,,,147.2,4.86,,,,239,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,39,65,1,4,CC 89-2000,S43,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,11.11111111,,,,,140.4,4.88,,,,40,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,115,133,1,10,CC 89-487,S44,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,8.333333333,,,,,138.7,4.74,,,,116,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,191,178,1,16,CC 89-495,S45,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,13.27777778,,,,,157.1,4.83,,,,192,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,211,1,1,18,CC 91-1555,S46,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,16.22222222,,,,,146.4,4.9,,,,212,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,176,164,1,15,CC 91-1590,S172,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,11.55555556,,,,,142.7,3.74,,,,177,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,116,82,1,10,CC 91-1763,S47,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,12.94444444,,,,,147.5,4.2,,,,117,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,71,54,1,6,CC 91-1990,S48,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,12.77777778,,,,,125.9,3.6,,,,72,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,131,221,1,11,CC 91-1999,S49,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,12.22222222,,,,,151.9,5.86,,,,132,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,80,155,1,7,CC 92-2154,S50,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,11.33333333,,,,,153.7,4.9,,,,81,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,26,11,1,3,CC 92-2188,S51,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,15.16666667,,,,,147,5.32,,,,27,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,106,73,1,7,CC 92-2198,S52,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,11.44444444,,,,,162.8,5.11,,,,107,4,AIBD,
