Parcela,Hacienda,Fibra_larga,Fibra_corta,Medula,Fibra_cana,Brix_cana,Sacarosa_cana,Name,Rep,Block,Ambiente
478,Balsora,38.29886719,10.29946229,51.40167053,10.78866769,12.71133231,9.687717136,S122,2,110,Balsora_1
1,Balsora,50.09633911,9.826589595,40.07707129,14.48029639,15.51970361,13.62744735,S29,1,1,Balsora_2
2,Balsora,48.43205575,10.97560976,40.59233449,15.49128389,14.70871611,12.1445956,S165,1,1,Balsora_2
3,Balsora,36.0147446,10.49815692,53.48709847,11.60920518,15.39079482,12.815647,S167,1,1,Balsora_2
4,Balsora,53.36011813,6.462690155,40.17719172,18.48652474,10.61347526,7.466467089,S123,1,1,Balsora_2
5,Balsora,34.40599794,13.6912158,51.90278626,14.37137913,14.52862087,11.85939348,S203,1,1,Balsora_2
6,Balsora,22.87724707,18.6926577,58.43009523,11.15525941,15.94474059,13.559549,S49,1,2,Balsora_2
7,Balsora,30.75170843,17.76765376,51.48063781,12.27650408,15.22349592,13.07605041,S46,1,2,Balsora_2
8,Balsora,46.03174603,12.1031746,41.86507937,10.77871048,14.92128952,12.28460005,S44,1,2,Balsora_2
9,Balsora,38.05571215,8.487063352,53.4572245,13.78670068,15.81329932,13.89744822,S28,1,2,Balsora_2
10,Balsora,43.97266379,5.663348685,50.36398752,12.82336132,15.67663868,13.65766644,S4,1,3,Balsora_2
11,Balsora,34.66386555,10.08403361,55.25210084,12.40071006,16.49928994,14.65740996,S172,1,3,Balsora_2
12,Balsora,46.4626598,14.06837508,39.46896512,12.71203629,12.48796371,9.704574587,S42,1,3,Balsora_2
